INICIO_SINTOMAS,CONFIRMADOS
2/25/2020,4
2/26/2020,8
2/27/2020,12
2/28/2020,21
2/29/2020,25
3/1/2020,52
3/2/2020,62
3/3/2020,69
3/4/2020,71
3/5/2020,82
3/6/2020,86
3/7/2020,90
3/8/2020,98
3/9/2020,116
3/10/2020,152
3/11/2020,174
3/12/2020,199
3/13/2020,239
3/14/2020,281
3/15/2020,370
3/16/2020,452
3/17/2020,529
3/18/2020,612
3/19/2020,672
3/20/2020,803
3/21/2020,836
3/22/2020,884
3/23/2020,950
3/24/2020,1012
3/25/2020,1067
3/26/2020,1143
3/27/2020,1190
3/28/2020,1243
3/29/2020,1276
3/30/2020,1347
3/31/2020,1375
4/1/2020,1474
4/2/2020,1527
4/3/2020,1574
4/4/2020,1607
4/5/2020,1644
4/6/2020,1683
4/7/2020,1724
4/8/2020,1778
4/9/2020,1820
4/10/2020,1916
4/11/2020,1963
4/12/2020,1997
4/13/2020,2074
4/14/2020,2139
4/15/2020,2236
4/16/2020,2292
4/17/2020,2384
4/18/2020,2470
4/19/2020,2532
4/20/2020,2724
4/21/2020,2842
4/22/2020,2966
4/23/2020,3093
4/24/2020,3223
4/25/2020,3363
4/26/2020,3472
4/27/2020,3635
4/28/2020,3848
4/29/2020,3959
4/30/2020,4124
5/1/2020,4368
5/2/2020,4534
5/3/2020,4676
5/4/2020,4868
5/5/2020,5098
5/6/2020,5281
5/7/2020,5470
5/8/2020,5694
5/9/2020,5858
5/10/2020,6141
5/11/2020,6451
5/12/2020,6796
5/13/2020,7075
5/14/2020,7315
5/15/2020,7678
5/16/2020,7872
5/17/2020,8114
5/18/2020,8545
5/19/2020,8918
5/20/2020,9368
5/21/2020,9738
5/22/2020,10285
5/23/2020,10633
5/24/2020,10898
5/25/2020,11591
5/26/2020,11982
5/27/2020,12396
5/28/2020,12866
5/29/2020,13450
5/30/2020,13736
5/31/2020,14009
6/1/2020,14707
6/2/2020,15328
6/3/2020,15834
6/4/2020,16499
6/5/2020,17094
6/6/2020,17621
6/7/2020,17947
6/8/2020,18608
6/9/2020,19238
6/10/2020,20258
6/11/2020,20811
6/12/2020,21579
6/13/2020,22140
6/14/2020,22777
6/15/2020,23935
6/16/2020,24977
6/17/2020,25966
6/18/2020,27497
6/19/2020,29053
6/20/2020,30641
6/21/2020,31465
6/22/2020,32885
6/23/2020,33950
6/24/2020,35055
6/25/2020,36287
6/26/2020,37620
6/27/2020,38468
6/28/2020,39399
6/29/2020,40888
6/30/2020,42249
7/1/2020,44365
7/2/2020,46016
7/3/2020,47798
7/4/2020,49251
7/5/2020,50951
7/6/2020,53122
7/7/2020,55041
7/8/2020,56975
7/9/2020,58966
7/10/2020,62362
7/11/2020,64138
7/12/2020,65965
7/13/2020,68812
7/14/2020,71200
7/15/2020,73945
7/16/2020,76503
7/17/2020,79529
7/18/2020,81687
7/19/2020,83699
7/20/2020,87597
7/21/2020,90048
7/22/2020,92418
7/23/2020,94819
7/24/2020,97194
7/25/2020,99074
7/26/2020,100574
7/27/2020,103116
7/28/2020,105113
7/29/2020,106823
7/30/2020,108711
7/31/2020,110671
8/1/2020,112639
8/2/2020,113937
8/3/2020,115999
8/4/2020,117683
8/5/2020,119440
8/6/2020,120931
8/7/2020,122533
8/8/2020,123639
8/9/2020,124603
8/10/2020,126294
8/11/2020,127451
8/12/2020,128455
8/13/2020,129420
8/14/2020,130418
8/15/2020,130944
8/16/2020,131220
8/17/2020,131935
8/18/2020,132459
8/19/2020,132856
8/20/2020,133215
8/21/2020,133484
8/22/2020,133513
8/23/2020,133519
8/24/2020,133533
